date,sales
2022-04-13,4876
2022-04-14,4923
2022-04-15,5045
2022-04-16,5156
2022-04-17,5298
2022-04-18,5187
2022-04-19,5034
2022-04-20,5145
2022-04-21,5267
2022-04-22,5389
2022-04-23,5456
2022-04-24,5534
2022-04-25,5389
2022-04-26,5267
2022-04-27,5345
2022-04-28,5456
2022-04-29,5578
2022-04-30,5689
2022-05-01,5745
2022-05-02,5634
2022-05-03,5723
2022-05-04,5845
2022-05-05,5967
2022-05-06,5889
2022-05-07,5778
2022-05-08,5934
2022-05-09,5856
2022-05-10,5989
2022-05-11,6123
2022-05-12,6187
2022-05-13,6034
2022-05-14,5976
2022-05-15,6023
2022-05-16,6145
2022-05-17,6256
2022-05-18,6398
2022-05-19,6287
2022-05-20,6134
2022-05-21,6245
2022-05-22,6367
2022-05-23,6489
2022-05-24,6556
2022-05-25,6634
2022-05-26,6489
2022-05-27,6367
2022-05-28,6445
2022-05-29,6556
2022-05-30,6678
2022-05-31,6789
2022-06-01,6845
2022-06-02,6734
2022-06-03,6823
2022-06-04,6945
2022-06-05,7067
2022-06-06,6989
2022-06-07,6878
2022-06-08,7034
2022-06-09,6956
2022-06-10,7089
2022-06-11,7223
2022-06-12,7287
2022-06-13,7134
2022-06-14,7076
2022-06-15,7123
2022-06-16,7245
2022-06-17,7356
2022-06-18,7498
2022-06-19,7387
2022-06-20,7234
2022-06-21,7345
2022-06-22,7467
2022-06-23,7589
2022-06-24,7656
2022-06-25,7734
2022-06-26,7589
2022-06-27,7467
2022-06-28,7545
2022-06-29,7656
2022-06-30,7778
2022-07-01,7889
2022-07-02,7945
2022-07-03,7834
2022-07-04,7923
2022-07-05,8045
2022-07-06,8167
2022-07-07,8089
2022-07-08,7978
2022-07-09,8134
2022-07-10,8056
2022-07-11,8189
2022-07-12,8323
2022-07-13,8387
2022-07-14,8234
2022-07-15,8176
2022-07-16,8223
2022-07-17,8345
2022-07-18,8456
2022-07-19,8598
2022-07-20,8487
2022-07-21,8334
2022-07-22,8445
2022-07-23,8567
2022-07-24,8689
2022-07-25,8756
2022-07-26,8834
2022-07-27,8689
2022-07-28,8567
2022-07-29,8645
2022-07-30,8756
2022-07-31,8878
2022-08-01,8989
2022-08-02,9045
2022-08-03,8934
2022-08-04,9023
2022-08-05,9145
2022-08-06,9267
2022-08-07,9189
2022-08-08,9078
2022-08-09,9234
2022-08-10,9156
2022-08-11,9289
2022-08-12,9423
2022-08-13,9487
2022-08-14,9334
2022-08-15,9276
2022-08-16,9323
2022-08-17,9445
2022-08-18,9556
2022-08-19,9698
2022-08-20,9587
2022-08-21,9434
2022-08-22,9545
2022-08-23,9667
2022-08-24,9789
2022-08-25,9856
2022-08-26,9934
2022-08-27,9789
2022-08-28,9667
2022-08-29,9745
2022-08-30,9856
2022-08-31,9978
2022-09-01,10089
2022-09-02,10145
2022-09-03,10034
2022-09-04,10123
2022-09-05,10245
2022-09-06,10367
2022-09-07,10289
2022-09-08,10178
2022-09-09,10334
2022-09-10,10256
2022-09-11,10389
2022-09-12,10523
2022-09-13,10587
2022-09-14,10434
2022-09-15,10376
2022-09-16,10423
2022-09-17,10545
2022-09-18,10656
2022-09-19,10798
2022-09-20,10687
2022-09-21,10534
2022-09-22,10645
2022-09-23,10767
2022-09-24,10889
2022-09-25,10956
2022-09-26,11034
2022-09-27,10889
2022-09-28,10767
2022-09-29,10845
2022-09-30,10956
2022-10-01,11078
2022-10-02,11189
2022-10-03,11245
2022-10-04,11134
2022-10-05,11223
2022-10-06,11345
2022-10-07,11467
2022-10-08,11389
2022-10-09,11278
2022-10-10,11434
2022-10-11,11356
2022-10-12,11489
2022-10-13,11623
2022-10-14,11687
2022-10-15,11534
2022-10-16,11476
2022-10-17,11523
2022-10-18,11645
2022-10-19,11756
2022-10-20,11898
2022-10-21,11787
2022-10-22,11634
2022-10-23,11745
2022-10-24,11867
2022-10-25,11989
2022-10-26,12056
2022-10-27,12134
2022-10-28,11989
2022-10-29,11867
2022-10-30,11945
2022-10-31,12056
2022-11-01,12178
2022-11-02,12289
2022-11-03,12345
2022-11-04,12234
2022-11-05,12323
2022-11-06,12445
2022-11-07,12567
2022-11-08,12489
2022-11-09,12378
2022-11-10,12534
2022-11-11,12456
2022-11-12,12589
2022-11-13,12723
2022-11-14,12787
2022-11-15,12634
2022-11-16,12576
2022-11-17,12623
2022-11-18,12745
2022-11-19,12856
2022-11-20,12998
2022-11-21,12887
2022-11-22,12734
2022-11-23,12845
2022-11-24,12967
2022-11-25,13089
2022-11-26,13156
2022-11-27,13234
2022-11-28,13089
2022-11-29,12967
2022-11-30,13045
2022-12-01,13156
2022-12-02,13278
2022-12-03,13389
2022-12-04,13445
2022-12-05,13334
2022-12-06,13423
2022-12-07,13545
2022-12-08,13667
2022-12-09,13589
2022-12-10,13478
2022-12-11,13634
2022-12-12,13556
2022-12-13,13689
2022-12-14,13823
2022-12-15,13887
2022-12-16,13734
2022-12-17,13676
2022-12-18,13723
2022-12-19,13845
2022-12-20,13956
2022-12-21,14098
2022-12-22,13987
2022-12-23,13834
2022-12-24,13945
2022-12-25,14067
2022-12-26,14189
2022-12-27,14256
2022-12-28,14334
2022-12-29,14189
2022-12-30,14067
2022-12-31,14145
2023-01-01,14256
2023-01-02,14378
2023-01-03,14489
2023-01-04,14545
2023-01-05,14434
2023-01-06,14523
2023-01-07,14645
2023-01-08,14767
2023-01-09,14689
2023-01-10,14578
2023-01-11,14734
2023-01-12,14656
2023-01-13,14789
2023-01-14,14923
2023-01-15,14987
2023-01-16,14834
2023-01-17,14776
2023-01-18,14823
2023-01-19,14945
2023-01-20,15056
2023-01-21,15198
2023-01-22,15087
2023-01-23,14934
2023-01-24,15045
2023-01-25,15167
2023-01-26,15289
2023-01-27,15356
2023-01-28,15434
2023-01-29,15289
2023-01-30,15167
2023-01-31,15245
2023-02-01,15356
2023-02-02,15478
2023-02-03,15589
2023-02-04,15645
2023-02-05,15534
2023-02-06,15623
2023-02-07,15745
2023-02-08,15867
2023-02-09,15789
2023-02-10,15678
2023-02-11,15834
2023-02-12,15756
2023-02-13,15889
2023-02-14,16023
2023-02-15,16087
2023-02-16,15934
2023-02-17,15876
2023-02-18,15923
2023-02-19,16045
2023-02-20,16156
2023-02-21,16298
2023-02-22,16187
2023-02-23,16034
2023-02-24,16145
2023-02-25,16267
2023-02-26,16389
2023-02-27,16456
2023-02-28,16534
2023-03-01,16389
2023-03-02,16467
2023-03-03,16545
2023-03-04,16656
2023-03-05,16778
2023-03-06,16889
2023-03-07,16745
2023-03-08,16834
2023-03-09,16923
2023-03-10,17045
2023-03-11,17167
2023-03-12,17089
2023-03-13,16978
2023-03-14,17134
2023-03-15,17056
2023-03-16,17189
2023-03-17,17323
2023-03-18,17387
2023-03-19,17234
2023-03-20,17176
2023-03-21,17223
2023-03-22,17345
2023-03-23,17456
2023-03-24,17598
2023-03-25,17487
2023-03-26,17334
2023-03-27,17445
2023-03-28,17567
2023-03-29,17689
2023-03-30,17756
2023-03-31,17834
2023-04-01,17689
2023-04-02,17767
2023-04-03,17845
2023-04-04,17956
2023-04-05,18078
2023-04-06,18189
2023-04-07,18045
2023-04-08,18134
2023-04-09,18223
2023-04-10,18345
2023-04-11,18467
2023-04-12,18389
2023-04-13,18278
2023-04-14,18434
2023-04-15,18356
2023-04-16,18489
2023-04-17,18623
2023-04-18,18687
2023-04-19,18534
2023-04-20,18476
2023-04-21,18523
2023-04-22,18645
2023-04-23,18756
2023-04-24,18898
2023-04-25,18787
2023-04-26,18634
2023-04-27,18745
2023-04-28,18867
2023-04-29,18989
2023-04-30,19056
2023-05-01,19134
2023-05-02,18989
2023-05-03,18867
2023-05-04,18945
2023-05-05,19056
2023-05-06,19178
2023-05-07,19289
2023-05-08,19345
2023-05-09,19234
2023-05-10,19323
2023-05-11,19445
2023-05-12,19567
2023-05-13,19489
2023-05-14,19378
2023-05-15,19534
2023-05-16,19456
2023-05-17,19589
2023-05-18,19723
2023-05-19,19787
2023-05-20,19634
2023-05-21,19576
2023-05-22,19623
2023-05-23,19745
2023-05-24,19856
2023-05-25,19998
2023-05-26,19887
2023-05-27,19734
2023-05-28,19845
2023-05-29,19967
2023-05-30,20089
2023-05-31,20156
